is_there_an_emotion_directed_at_a_brand_or_product,tweet
No emotion toward brand or product,new on our fb page summary of google vp marissa mayer's talk on location {link} #marissagoogle #sxsw
No emotion toward brand or product,soundtrckr featured by mention mention as a must-have for #sxsw {link}
No emotion toward brand or product,we set our flatulence to wake ourselves up you might need a bit more help #wakeuplaughing {link} #epictweets #sxsw
No emotion toward brand or product,icebreaker for iphone presenting at #sxsw #leanstartup {link} - unfortunate domain name
Positive emotion,i'll never forget this march 2011 weekend japan earthquake ipad 2 and my first south by southwest #sxsw memolane that y'all
Positive emotion,hipster or hobo only way to tell is the iphone #sxsw
Positive emotion,it's clear i will never be cool at #sxsw because i am without an ipad and i'm generally not cool doubly handicapped
Negative emotion,headed for ipad design headaches (2 tablets call in the morning) #sxsw {link}
Negative emotion,design for ipad is like a design 101 class will someone give a talk and assume that we didn't all ditch our previous experience #sxsw
No emotion toward brand or product,my twitter is full of people who are at #sxsw buying the ipad 2 or doing both at least my pity party is keeping me busy i suppose
No emotion toward brand or product,"&quotyour mom has an ipad designing for boomers&quot is full house where is #rebeltv spirit
{link} #sxsw"
No emotion toward brand or product,the winner of best in show for #sxsw the wilderness downtown arcade fire google sony radical media milk and koblin
No emotion toward brand or product,co founder of google teacher academy is bringing hs students from austin to show how they use tech {link} #sxsw #education
No emotion toward brand or product,co founder of google teacher academy is bringing hs students from austin to show how they use tech {link} #sxsw #eeducation
No emotion toward brand or product,one of our producers is going to #sxsw what (hopefully free) iphone apps should she dl
Negative emotion,#sxsw #csr reporting janecek microsoft gives $ to charity apple gives nothing everyone in room has iphone what drives that decision
No emotion toward brand or product,"ipad 2 for sale (cc #sxsw #sxswi #theinternet)

{link}"
Positive emotion,thanks for the free drinks google  #sxsw (mention speakeasy w/ 47 others) {link}
Positive emotion,days later there's still a line out the door at the #sxsw apple store for the ipad2  {link}
Negative emotion,i can hear those ipad 2 nutters ipading away even now such is life in the techno hipster mecca #sxsw
Positive emotion,seated for turkey bowl armadillo &amp kill list sxxpress passes acquired now if i could only buy an ipad #sxsw
Positive emotion,wow major win for you ûïmention traded the xoom i won at the js party for the ipad 2 mention won #sxsw #winwin #winning #tigerbloodû
Positive emotion,"&quoto frabjous day  callooh  callay û_[baaah]&quotûólewis
 carroll ÷è crowd swarms for ipad 2 launch {link} via mention #sxsw"
No emotion toward brand or product,free 22 track #sxsw sampler album on itunes #music #discovery {link}
No emotion toward brand or product,free 23-track #sxsw sampler on itunes {link}
No emotion toward brand or product,fantasy bracket challenge &amp ipad 2 giveaway {link} via #constantcontact #sxsw #marchmadness #selectionsunday
No emotion toward brand or product,preview tracks of showcasing artists/musicians at #sxsw downloadable as torrents {link}
No emotion toward brand or product,21 free tracks on itunes from #sxsw featured artists {link} (via mention
Negative emotion,apps distract pubs sez khoi vinh instead of focusing on reader exp they're delivering same content 3 ways #sxsw  {link}
Positive emotion,sxsw interactive googleûªs mobile future &amp elusive û÷power of hereûª - mention mention - #sxsw #google #mobile - {link}
Positive emotion,congrats radical media google arcade fire for #sxsw best in show wilderness downtown
No emotion toward brand or product,mention rainey street is a nice alternative to 6th street #sxsw parties walking directions from convention center {link}
No emotion toward brand or product,line is wrapping around the block for an ipad 2 again for a second day at #sxsw {link}
Negative emotion,how frustrating is it that zeldman autocorrects to zelda on the iphone #jzsxsw #sxsw
No emotion toward brand or product,despite drawing giant crowd google-bing q&ampa discussion is very inside baseball #sxsw
No emotion toward brand or product,line is crazy long at #sxsw apple store for #ipad2
No emotion toward brand or product,google circles - is this real or fake contradicting blog post and statements from chris messina at #sxsw {link} via mention
No emotion toward brand or product,google circles  won't be launched at #sxsw google even denies working on such a project  {link} #facebook
Positive emotion,google circles at #sxsw whoooooo {link}
No emotion toward brand or product,google circles coming soon- new social network will have photo/video/status updates and more #sxswi #sxsw {link}
No emotion toward brand or product,google circles could potentially be unveiled today at #sxsw could google get 'social' right this time your opinion {link}
Negative emotion,google circles is (not) a real thing and will (not) be launched today at #sxsw {link}
No emotion toward brand or product,google circles launching today at #sxsw new #facebook killer {link}
No emotion toward brand or product,google circles might launch today at #sxsw a new social network {link}
No emotion toward brand or product,google circles not being launched mention #sxsw interactive today {link} #bummer
No emotion toward brand or product,google circles not launched at #sxsw {link}
No emotion toward brand or product,google circles preview {link} #sxsw
No emotion toward brand or product,google circles social network {link} #sxsw
No emotion toward brand or product,google circles will be ______    #sxsw
No emotion toward brand or product,google circles will be 'boolean' () #sxsw mention
No emotion toward brand or product,google circles will be [a true competitor in the social realm] [cc mention #sxsw
No emotion toward brand or product,google circles will not launch at #sxsw - {link}
No emotion toward brand or product,google circles #google's major #socialnetwork will premier at #sxsw today #tech #geek #socialmedia #googlecircles
No emotion toward brand or product,google circles a new social network no #sxsw  {link}
No emotion toward brand or product,google circles google's social network rumored to be launching today at #sxsw
Positive emotion,google circles if as described another good move as a product but too late{link} #sxsw (via mention
No emotion toward brand or product,google circles what is it and will it ever arrive {link} #google #circles #social #search #sxsw
Positive emotion,google circles  #sxsw #orly
No emotion toward brand or product,google circles  big rumor from what i can tell  {link} #sxsw #wellplayed
No emotion toward brand or product,google circles a new social networking platform {link} so this is the new facebook #sxsw
No emotion toward brand or product,google circles 10x for sharing ûïmention rt mention google to launch major new social network {link} #sxswû
No emotion toward brand or product,google circles is it happening so lost  #sxsw
No emotion toward brand or product,google circles' looms but do google's nerds 'get' social {link} #socialmedia #sxsw
No emotion toward brand or product,google circles' looms but do google's nerds 'get' social #sxsw | mention {link}
No emotion toward brand or product,google circles' looms but do google's nerds 'get' social #sxsw | mention {link}
